the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1138.82        | 58.92863             | NULL
67108864          | 1139.95        | 58.86991             | NULL
67108864          | 1139.26        | 58.90566             | NULL
67108864          | 1139.95        | 58.87011             | NULL
67108864          | 1138.42        | 58.94892             | NULL
67108864          | 1140.38        | 58.84760             | NULL
67108864          | 1139.66        | 58.88478             | NULL
67108864          | 1140.53        | 58.83996             | NULL
67108864          | 1139.16        | 58.91063             | NULL
67108864          | 1140.04        | 58.86536             | NULL
67108864          | 1138.86        | 58.92635             | NULL
67108864          | 1140.50        | 58.84162             | NULL
67108864          | 1139.22        | 58.90753             | NULL
67108864          | 1140.54        | 58.83976             | NULL
67108864          | 1139.35        | 58.90090             | NULL
67108864          | 1140.18        | 58.85813             | NULL
67108864          | 1139.67        | 58.88458             | NULL
67108864          | 1139.67        | 58.88437             | NULL
67108864          | 1138.88        | 58.92532             | NULL
67108864          | 1139.80        | 58.87775             | NULL
67108864          | 1138.85        | 58.92676             | NULL
67108864          | 1140.23        | 58.85545             | NULL
67108864          | 1138.94        | 58.92242             | NULL
67108864          | 1139.81        | 58.87713             | NULL
67108864          | 1138.79        | 58.92987             | NULL
67108864          | 1140.40        | 58.84698             | NULL
67108864          | 1139.13        | 58.91228             | NULL
67108864          | 1140.35        | 58.84946             | NULL
67108864          | 1138.87        | 58.92593             | NULL
67108864          | 1139.99        | 58.86804             | NULL
67108864          | 1139.47        | 58.89491             | NULL
67108864          | 1139.76        | 58.87982             | NULL
67108864          | 1138.74        | 58.93277             | NULL
67108864          | 1140.41        | 58.84616             | NULL
67108864          | 1138.71        | 58.93422             | NULL
67108864          | 1139.94        | 58.87032             | NULL
67108864          | 1139.82        | 58.87672             | NULL
67108864          | 1141.05        | 58.81336             | NULL
67108864          | 1139.33        | 58.90194             | NULL
67108864          | 1139.41        | 58.89780             | NULL
67108864          | 1139.03        | 58.91745             | NULL
67108864          | 1140.46        | 58.84347             | NULL
67108864          | 1139.14        | 58.91207             | NULL
67108864          | 1139.93        | 58.87094             | NULL
67108864          | 1139.50        | 58.89325             | NULL
67108864          | 1140.23        | 58.85545             | NULL
67108864          | 1139.47        | 58.89470             | NULL
67108864          | 1141.20        | 58.80573             | NULL
67108864          | 1139.54        | 58.89098             | NULL
67108864          | 1139.63        | 58.88643             | NULL
67108864          | 1138.96        | 58.92097             | NULL
67108864          | 1140.00        | 58.86763             | NULL
67108864          | 1139.80        | 58.87796             | NULL
67108864          | 1139.60        | 58.88829             | NULL
67108864          | 1139.18        | 58.91001             | NULL
67108864          | 1140.60        | 58.83666             | NULL
67108864          | 1139.42        | 58.89739             | NULL
67108864          | 1140.26        | 58.85400             | NULL
67108864          | 1139.26        | 58.90587             | NULL
67108864          | 1140.46        | 58.84388             | NULL
67108864          | 1139.14        | 58.91186             | NULL
67108864          | 1139.96        | 58.86929             | NULL
67108864          | 1138.86        | 58.92656             | NULL
67108864          | 1140.63        | 58.83502             | NULL
67108864          | 1138.70        | 58.93484             | NULL
67108864          | 1140.21        | 58.85669             | NULL
67108864          | 1139.24        | 58.90691             | NULL
67108864          | 1140.47        | 58.84326             | NULL
67108864          | 1139.42        | 58.89718             | NULL
67108864          | 1140.19        | 58.85772             | NULL
67108864          | 1138.80        | 58.92925             | NULL
67108864          | 1140.91        | 58.82037             | NULL
67108864          | 1139.36        | 58.90029             | NULL
67108864          | 1139.99        | 58.86783             | NULL
67108864          | 1139.16        | 58.91104             | NULL
67108864          | 1140.16        | 58.85917             | NULL
67108864          | 1139.34        | 58.90173             | NULL
67108864          | 1139.96        | 58.86949             | NULL
67108864          | 1139.55        | 58.89077             | NULL
67108864          | 1140.95        | 58.81830             | NULL
67108864          | 1139.27        | 58.90525             | NULL
67108864          | 1139.78        | 58.87858             | NULL
67108864          | 1138.67        | 58.93629             | NULL
67108864          | 1139.94        | 58.87032             | NULL
67108864          | 1138.82        | 58.92863             | NULL
67108864          | 1140.19        | 58.85751             | NULL
67108864          | 1139.38        | 58.89925             | NULL
67108864          | 1140.06        | 58.86412             | NULL
67108864          | 1139.17        | 58.91021             | NULL
67108864          | 1140.55        | 58.83893             | NULL
67108864          | 1139.60        | 58.88829             | NULL
67108864          | 1139.92        | 58.87135             | NULL
67108864          | 1139.21        | 58.90835             | NULL
67108864          | 1141.03        | 58.81439             | NULL
67108864          | 1138.73        | 58.93318             | NULL
67108864          | 1139.88        | 58.87342             | NULL
67108864          | 1139.19        | 58.90939             | NULL
67108864          | 1139.90        | 58.87259             | NULL
