the minbytes is 67108864, maxbytes is 67108864, iters is 5, warmup_iters is 2
data_size(Bytes): | aveg_time(us): | alg_bandwidth(GB/s): | check_result:
67108864          | 1010.92        | 66.38421             | NULL
67108864          | 1010.51        | 66.41102             | NULL
67108864          | 1010.48        | 66.41260             | NULL
67108864          | 1010.44        | 66.41575             | NULL
67108864          | 1010.64        | 66.40260             | NULL
67108864          | 1010.02        | 66.44284             | NULL
67108864          | 1010.29        | 66.42548             | NULL
67108864          | 1010.69        | 66.39919             | NULL
67108864          | 1010.46        | 66.41444             | NULL
67108864          | 1009.90        | 66.45100             | NULL
67108864          | 1010.05        | 66.44100             | NULL
67108864          | 1010.60        | 66.40523             | NULL
67108864          | 1010.71        | 66.39762             | NULL
67108864          | 1010.50        | 66.41128             | NULL
67108864          | 1010.90        | 66.38500             | NULL
67108864          | 1010.16        | 66.43416             | NULL
67108864          | 1010.32        | 66.42337             | NULL
67108864          | 1010.26        | 66.42705             | NULL
67108864          | 1010.64        | 66.40235             | NULL
67108864          | 1010.03        | 66.44231             | NULL
67108864          | 1010.36        | 66.42100             | NULL
67108864          | 1010.11        | 66.43705             | NULL
67108864          | 1010.88        | 66.38658             | NULL
67108864          | 1010.25        | 66.42785             | NULL
67108864          | 1010.00        | 66.44468             | NULL
67108864          | 1010.51        | 66.41102             | NULL
67108864          | 1010.39        | 66.41891             | NULL
67108864          | 1010.06        | 66.44021             | NULL
67108864          | 1010.96        | 66.38133             | NULL
67108864          | 1010.36        | 66.42100             | NULL
67108864          | 1010.45        | 66.41496             | NULL
67108864          | 1009.84        | 66.45468             | NULL
67108864          | 1010.28        | 66.42600             | NULL
67108864          | 1010.54        | 66.40865             | NULL
67108864          | 1010.46        | 66.41417             | NULL
67108864          | 1010.60        | 66.40471             | NULL
67108864          | 1010.70        | 66.39814             | NULL
67108864          | 1009.95        | 66.44784             | NULL
67108864          | 1010.34        | 66.42179             | NULL
67108864          | 1010.78        | 66.39288             | NULL
67108864          | 1010.32        | 66.42337             | NULL
67108864          | 1009.96        | 66.44705             | NULL
67108864          | 1010.79        | 66.39236             | NULL
67108864          | 1010.73        | 66.39657             | NULL
67108864          | 1010.21        | 66.43048             | NULL
67108864          | 1009.93        | 66.44889             | NULL
67108864          | 1010.82        | 66.39025             | NULL
67108864          | 1010.45        | 66.41470             | NULL
67108864          | 1010.28        | 66.42574             | NULL
67108864          | 1010.31        | 66.42390             | NULL
67108864          | 1010.26        | 66.42759             | NULL
67108864          | 1010.75        | 66.39524             | NULL
67108864          | 1010.48        | 66.41312             | NULL
67108864          | 1010.78        | 66.39340             | NULL
67108864          | 1010.60        | 66.40497             | NULL
67108864          | 1010.39        | 66.41864             | NULL
67108864          | 1010.84        | 66.38947             | NULL
67108864          | 1010.72        | 66.39709             | NULL
67108864          | 1011.46        | 66.34877             | NULL
67108864          | 1010.63        | 66.40313             | NULL
67108864          | 1010.32        | 66.42311             | NULL
67108864          | 1010.43        | 66.41627             | NULL
67108864          | 1010.30        | 66.42495             | NULL
67108864          | 1010.24        | 66.42864             | NULL
67108864          | 1011.02        | 66.37765             | NULL
67108864          | 1010.60        | 66.40523             | NULL
67108864          | 1010.38        | 66.41969             | NULL
67108864          | 1010.32        | 66.42311             | NULL
67108864          | 1010.68        | 66.39972             | NULL
67108864          | 1010.72        | 66.39683             | NULL
67108864          | 1011.07        | 66.37397             | NULL
67108864          | 1010.11        | 66.43732             | NULL
67108864          | 1010.33        | 66.42258             | NULL
67108864          | 1010.74        | 66.39603             | NULL
67108864          | 1010.48        | 66.41286             | NULL
67108864          | 1009.93        | 66.44915             | NULL
67108864          | 1010.77        | 66.39393             | NULL
67108864          | 1009.95        | 66.44784             | NULL
67108864          | 1010.82        | 66.39025             | NULL
67108864          | 1010.10        | 66.43784             | NULL
67108864          | 1010.13        | 66.43600             | NULL
67108864          | 1011.08        | 66.37318             | NULL
67108864          | 1010.71        | 66.39762             | NULL
67108864          | 1010.15        | 66.43442             | NULL
67108864          | 1010.39        | 66.41864             | NULL
67108864          | 1010.52        | 66.41049             | NULL
67108864          | 1010.52        | 66.40996             | NULL
67108864          | 1010.25        | 66.42811             | NULL
67108864          | 1010.62        | 66.40366             | NULL
67108864          | 1010.36        | 66.42100             | NULL
67108864          | 1010.69        | 66.39893             | NULL
67108864          | 1010.28        | 66.42600             | NULL
